path,id,version,exports_count
ARKA_OS/ARKA_AGENT/client/acme/experts/ARKA_AGENT27-marketing-analytics-expert.yaml,marketing-analytics-expert,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/experts/ARKA_AGENT30-spec-writer.yaml,spec-writer,1.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/experts/ARKA_AGENT40-gemini-owner-sourcing.yaml,gemini-owner-sourcing,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/experts/ARKA_AGENT99-fsx-extreme-fullstack.yaml,fsx-extreme-fullstack,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-AGENT_CREATOR_CLIENT.yaml,ARKAA08-WAKEUP-AGENT_CREATOR_CLIENT,1.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-AGP.yaml,ARKAA08-WAKEUP-AGP,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-ARKA_ARCHIVIST_ORCHESTRATOR.yaml,ARKAA08-WAKEUP-ARKA_ARCHIVIST_ORCHESTRATOR,1.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-BRAND_STRATEGY_ARCHITECT.yaml,ARKAA08-WAKEUP-BRAND_STRATEGY_ARCHITECT,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-COMPENSATION_BENEFITS_ANALYST.yaml,ARKAA08-WAKEUP-COMPENSATION_BENEFITS_ANALYST,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-CONTENT_STRATEGY_MANAGER.yaml,ARKAA08-WAKEUP-CONTENT_STRATEGY_MANAGER,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-CORE_ARCHIVIST.yaml,ARKAA08-WAKEUP-CORE_ARCHIVIST,1.1.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-CORE_SCRIBE.yaml,ARKAA08-WAKEUP-CORE_SCRIBE,1.1.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-DEVOPS_GUARDIAN.yaml,ARKAA08-WAKEUP-DEVOPS_GUARDIAN,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-EMPLOYEE_EXPERIENCE_DESIGNER.yaml,ARKAA08-WAKEUP-EMPLOYEE_EXPERIENCE_DESIGNER,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-FSX_EXTREME.yaml,ARKAA08-WAKEUP-FSX_EXTREME,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-GEMINI.yaml,ARKAA08-WAKEUP-GEMINI,1.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-GROWTH_HACKER_SPECIALIST.yaml,ARKAA08-WAKEUP-GROWTH_HACKER_SPECIALIST,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-HR_TRANSFORMATION_SPECIALIST.yaml,ARKAA08-WAKEUP-HR_TRANSFORMATION_SPECIALIST,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-LEAD_DEV_BATISSEUR.yaml,ARKAA08-WAKEUP-LEAD_DEV_BATISSEUR,3.0.0,0.0
ARKA_OS/ARKA_AGENT/client/acme/wakeup/ARKAA08-WAKEUP-LEARNING_DEVELOPMENT_STRATEGIST.yaml,ARKAA08-WAKEUP-LEARNING_DEVELOPMENT_STRATEGIST,3.0.0,0.0
